Year	SeaLevel
1894.9583	-48.25
1895.0417	-43.16
1895.125	-40.43
1895.2083	-44.18
1895.2917	-46.72
1895.375	-50.54
1895.4583	-49.01
1895.5417	-47.27
1895.625	-46.36
1895.7083	-45.36
1895.7917	-42.37
1895.875	-44.42
1895.9583	-46.32
1896.0417	-53.41
1896.125	-59.7
1896.2083	-58.24
1896.2917	-55.35
1896.375	-50.59
1896.4583	-46.47
1896.5417	-47.07
1896.625	-47.78
1896.7083	-48.99
1896.7917	-49.07
1896.875	-48.6
1896.9583	-48.12
1897.0417	-46.72
1897.125	-48.79
1897.2083	-44.89
1897.2917	-43.86
1897.375	-36.7
1897.4583	-38.03
1897.5417	-38.19
1897.625	-42.19
1897.7083	-47.24
1897.7917	-53.29
1897.875	-65.23
1897.9583	-62.93
1898.0417	-59.49
1898.125	-45.73
1898.2083	-38.55
1898.2917	-36.13
1898.375	-33.23
1898.4583	-39.63
1898.5417	-43.41
1898.625	-47.29
1898.7083	-46.36
1898.7917	-41.05
1898.875	-41.44
1898.9583	-41.21
1899.0417	-40.77
1899.125	-41.73
1899.2083	-41.74
1899.2917	-40.65
1899.375	-41.79
1899.4583	-40.33
1899.5417	-39.35
1899.625	-34.67
1899.7083	-33.03
1899.7917	-31.71
1899.875	-35.85
1899.9583	-38.01
1900.0417	-40.28
1900.125	-42.12
1900.2083	-41.77
1900.2917	-43.41
1900.375	-39.3
1900.4583	-44.15
1900.5417	-47.53
1900.625	-50.79
1900.7083	-55.71
1900.7917	-51.96
1900.875	-53.45
1900.9583	-51.16
1901.0417	-53.1
1901.125	-54.07
1901.2083	-56.61
1901.2917	-54.98
1901.375	-56.26
1901.4583	-53.04
1901.5417	-52.85
1901.625	-47.52
1901.7083	-44.03
1901.7917	-42.9
1901.875	-44.35
1901.9583	-45.88
1902.0417	-46.47
1902.125	-45.36
1902.2083	-45.7
1902.2917	-49.54
1902.375	-52.74
1902.4583	-55.21
1902.5417	-54.15
1902.625	-50.64
1902.7083	-47.59
1902.7917	-44.24
1902.875	-44.53
1902.9583	-43.82
1903.0417	-43.82
1903.125	-44.12
1903.2083	-38.72
1903.2917	-35.55
1903.375	-34.6
1903.4583	-35.43
1903.5417	-40.26
1903.625	-42.56
1903.7083	-46.26
1903.7917	-43.23
1903.875	-45.69
1903.9583	-42.46
1904.0417	-45.89
1904.125	-39.98
1904.2083	-43.62
1904.2917	-44.01
1904.375	-46.75
1904.4583	-43.25
1904.5417	-43.09
1904.625	-42.17
1904.7083	-43.06
1904.7917	-43.36
1904.875	-43.99
1904.9583	-46
1905.0417	-48.41
1905.125	-49.95
1905.2083	-50.39
1905.2917	-49.86
1905.375	-50.1
1905.4583	-49.83
1905.5417	-48.65
1905.625	-44.93
1905.7083	-42.32
1905.7917	-43.97
1905.875	-46.24
1905.9583	-49.54
1906.0417	-44.3
1906.125	-40.71
1906.2083	-38.42
1906.2917	-40.95
1906.375	-40.43
1906.4583	-41.57
1906.5417	-39.92
1906.625	-41.96
1906.7083	-41.49
1906.7917	-42.02
1906.875	-43.98
1906.9583	-43.39
1907.0417	-44.57
1907.125	-41.22
1907.2083	-41.83
1907.2917	-40.83
1907.375	-41.97
1907.4583	-40.46
1907.5417	-41.64
1907.625	-39.86
1907.7083	-45.69
1907.7917	-47.64
1907.875	-51.96
1907.9583	-49.81
1908.0417	-46.98
1908.125	-45.84
1908.2083	-46.2
1908.2917	-48.87
1908.375	-47.34
1908.4583	-44.42
1908.5417	-43.12
1908.625	-44.14
1908.7083	-46.85
1908.7917	-50.08
1908.875	-48.72
1908.9583	-46.29
1909.0417	-38.16
1909.125	-35.42
1909.2083	-35.43
1909.2917	-41.52
1909.375	-46.53
1909.4583	-51.67
1909.5417	-49.38
1909.625	-46.06
1909.7083	-40.96
1909.7917	-39.6
1909.875	-40.62
1909.9583	-43.25
1910.0417	-44.76
1910.125	-46.83
1910.2083	-46.02
1910.2917	-45.75
1910.375	-41.42
1910.4583	-41.96
1910.5417	-41.29
1910.625	-44.48
1910.7083	-44.8
1910.7917	-45.4
1910.875	-45.66
1910.9583	-47.56
1911.0417	-49.11
1911.125	-44.63
1911.2083	-40.47
1911.2917	-36.58
1911.375	-38.85
1911.4583	-37.82
1911.5417	-37.17
1911.625	-32.83
1911.7083	-29.48
1911.7917	-27.38
1911.875	-31.1
1911.9583	-33.09
1912.0417	-38.93
1912.125	-39.7
1912.2083	-43.42
1912.2917	-43.32
1912.375	-42.84
1912.4583	-38.58
1912.5417	-38.24
1912.625	-37.78
1912.7083	-39.4
1912.7917	-39.88
1912.875	-38.62
1912.9583	-36.01
1913.0417	-40.04
1913.125	-41.66
1913.2083	-45.52
1913.2917	-46
1913.375	-44.71
1913.4583	-39.48
1913.5417	-35.42
1913.625	-31.05
1913.7083	-31.59
1913.7917	-34.13
1913.875	-33.23
1913.9583	-38.97
1914.0417	-33.34
1914.125	-37.4
1914.2083	-32.71
1914.2917	-34.62
1914.375	-31.64
1914.4583	-33.82
1914.5417	-32.72
1914.625	-34.99
1914.7083	-31.83
1914.7917	-28.69
1914.875	-20.05
1914.9583	-11.64
1915.0417	-6.45
1915.125	-5.75
1915.2083	-9.86
1915.2917	-15.88
1915.375	-21.06
1915.4583	-23.7
1915.5417	-27.79
1915.625	-30.39
1915.7083	-35.36
1915.7917	-38.26
1915.875	-35.88
1915.9583	-35.89
1916.0417	-31.62
1916.125	-32.21
1916.2083	-28.35
1916.2917	-29.02
1916.375	-29.13
1916.4583	-32.34
1916.5417	-35.85
1916.625	-38.62
1916.7083	-38.12
1916.7917	-36.29
1916.875	-30.85
1916.9583	-28.73
1917.0417	-28.69
1917.125	-33.64
1917.2083	-37.73
1917.2917	-41.85
1917.375	-42.68
1917.4583	-41.59
1917.5417	-38.95
1917.625	-37.6
1917.7083	-37.16
